City,Date,PM2.5,PM10,NO,NO2,CO,SO2,O3,AQI,AQI_Bucket
Ahmedabad,2015-07-24,29.22,152.67,0.06,9.57,0.06,13.58,5.08,48.0,Good
Ahmedabad,2015-02-05,58.36,152.67,2.6,21.39,2.6,32.66,53.54,149.0,Moderate
Ahmedabad,2015-02-06,79.29,152.67,1.16,26.94,1.16,67.41,59.3,190.0,Moderate
Ahmedabad,2015-03-02,60.78,152.67,9.07,18.21,9.07,29.48,34.75,189.0,Moderate
Ahmedabad,2015-03-08,71.56,152.67,3.51,16.83,3.51,30.28,57.16,190.0,Moderate
Ahmedabad,2015-03-16,30.76,152.67,2.72,14.14,2.72,43.62,54.78,118.0,Moderate
Ahmedabad,2015-04-03,53.07,152.67,4.17,13.82,4.17,40.36,21.76,169.0,Moderate
Ahmedabad,2015-04-11,61.06,152.67,3.52,14.03,3.52,8.08,19.54,126.0,Moderate
Ahmedabad,2015-04-12,39.42,152.67,5.28,19.56,5.28,17.66,31.3,175.0,Moderate
Ahmedabad,2015-04-22,63.38,152.67,3.44,13.28,3.44,24.79,43.62,189.0,Moderate
Ahmedabad,2015-05-06,65.11,152.67,3.14,4.58,3.14,22.27,32.26,120.0,Moderate
Ahmedabad,2015-05-07,51.03,152.67,6.24,20.47,6.24,15.5,31.44,158.0,Moderate
Ahmedabad,2015-05-08,38.73,152.67,8.0,19.28,8.0,20.13,25.7,177.0,Moderate
Ahmedabad,2015-05-20,42.0,152.67,10.44,18.16,10.44,17.0,25.5,162.0,Moderate
Ahmedabad,2015-05-23,38.88,152.67,2.18,16.28,2.18,26.4,12.47,128.0,Moderate
Ahmedabad,2015-05-24,46.89,152.67,2.96,16.17,2.96,41.96,10.74,129.0,Moderate
Ahmedabad,2015-05-25,70.96,152.67,4.12,15.47,4.12,23.67,16.01,152.0,Moderate
Ahmedabad,2015-05-26,53.66,152.67,4.23,14.43,4.23,14.46,45.64,176.0,Moderate
Ahmedabad,2015-05-27,45.49,152.67,4.26,13.73,4.26,12.85,71.85,167.0,Moderate
Ahmedabad,2015-05-28,60.86,152.67,5.27,16.61,5.27,14.91,41.19,106.0,Moderate
Ahmedabad,2015-05-31,57.59,152.67,5.6,15.47,5.6,41.68,25.51,174.0,Moderate
Ahmedabad,2015-06-01,77.22,152.67,7.02,15.47,7.02,71.97,9.56,185.0,Moderate
Ahmedabad,2015-06-02,45.29,152.67,7.25,12.74,7.25,18.64,6.32,179.0,Moderate
Ahmedabad,2015-06-04,25.14,152.67,6.01,18.73,6.01,38.05,38.52,192.0,Moderate
Ahmedabad,2015-06-07,80.69,152.67,6.86,16.07,6.86,39.85,32.65,192.0,Moderate
Ahmedabad,2015-06-08,44.75,152.67,7.76,16.53,7.76,9.89,8.07,191.0,Moderate
Ahmedabad,2015-06-09,38.11,152.67,7.41,11.62,7.41,3.13,6.69,184.0,Moderate
Ahmedabad,2015-06-16,37.71,152.67,8.54,16.26,8.54,0.87,4.6,198.0,Moderate
Ahmedabad,2015-06-17,32.37,152.67,7.53,14.36,7.53,2.17,12.17,195.0,Moderate
Ahmedabad,2015-06-18,34.74,152.67,7.59,13.51,7.59,4.11,12.22,187.0,Moderate
Ahmedabad,2015-06-19,32.56,152.67,7.34,13.91,7.34,4.04,11.85,181.0,Moderate
Ahmedabad,2015-06-20,29.28,152.67,7.55,11.68,7.55,4.01,12.64,179.0,Moderate
Ahmedabad,2015-06-21,20.46,152.67,7.15,10.61,7.15,5.62,12.7,188.0,Moderate
Ahmedabad,2015-06-22,26.07,152.67,7.99,11.07,7.99,4.1,10.57,190.0,Moderate
Ahmedabad,2015-06-23,21.43,152.67,7.45,11.16,7.45,4.99,7.38,185.0,Moderate
Ahmedabad,2015-06-24,11.91,152.67,7.34,10.1,7.34,10.86,5.47,189.0,Moderate
Ahmedabad,2015-06-25,57.75,152.67,8.68,9.68,8.68,12.28,3.06,196.0,Moderate
Ahmedabad,2015-06-28,47.5,152.67,8.07,9.53,8.07,13.91,7.28,196.0,Moderate
Ahmedabad,2015-07-05,47.43,152.67,8.11,9.45,8.11,7.93,7.08,199.0,Moderate
Ahmedabad,2015-07-06,51.74,152.67,8.91,12.38,8.91,10.05,5.78,200.0,Moderate
Ahmedabad,2015-07-16,65.37,152.67,0.64,8.07,0.64,16.31,8.02,105.0,Moderate
Ahmedabad,2015-07-17,56.28,152.67,0.6,8.02,0.6,18.93,6.2,101.0,Moderate
Ahmedabad,2015-07-28,19.52,152.67,5.89,11.26,5.89,11.56,4.4,157.0,Moderate
Ahmedabad,2015-07-29,35.16,152.67,5.75,10.89,5.75,14.7,3.67,158.0,Moderate
Ahmedabad,2015-07-30,33.03,152.67,7.01,10.58,7.01,12.95,3.53,169.0,Moderate
Ahmedabad,2015-07-31,40.95,152.67,6.92,10.47,6.92,19.8,3.38,174.0,Moderate
Ahmedabad,2015-08-01,40.29,152.67,6.74,10.52,6.74,8.27,3.57,173.0,Moderate
Ahmedabad,2015-08-02,41.16,152.67,6.91,10.51,6.91,13.48,3.69,172.0,Moderate
Ahmedabad,2015-08-03,36.12,152.67,7.21,11.56,7.21,13.62,6.08,190.0,Moderate
Ahmedabad,2015-08-04,28.51,152.67,6.69,20.52,6.69,5.69,7.65,171.0,Moderate
Ahmedabad,2015-08-05,31.59,152.67,6.99,20.42,6.99,9.23,7.9,168.0,Moderate
Ahmedabad,2015-08-06,42.56,152.67,7.17,20.4,7.17,6.28,9.86,172.0,Moderate
Ahmedabad,2015-08-07,48.12,152.67,7.14,20.3,7.14,6.77,12.78,173.0,Moderate
Ahmedabad,2015-08-08,37.09,152.67,7.22,20.21,7.22,8.66,7.94,175.0,Moderate
Ahmedabad,2015-08-09,33.4,152.67,7.4,20.09,7.4,9.95,8.39,179.0,Moderate
Ahmedabad,2015-08-10,38.64,152.67,7.35,20.21,7.35,9.74,6.28,174.0,Moderate
Ahmedabad,2015-08-11,40.49,152.67,7.48,20.23,7.48,8.92,21.51,176.0,Moderate
Ahmedabad,2015-08-12,41.37,152.67,7.47,20.2,7.47,11.73,19.8,179.0,Moderate
Ahmedabad,2015-08-13,44.56,152.67,7.49,20.06,7.49,11.23,22.77,175.0,Moderate
Ahmedabad,2015-08-14,65.68,152.67,7.57,19.94,7.57,8.21,30.21,177.0,Moderate
Ahmedabad,2015-08-15,33.34,152.67,7.3,20.27,7.3,6.41,32.95,175.0,Moderate
Ahmedabad,2015-08-16,39.17,152.67,7.35,20.24,7.35,9.17,26.64,174.0,Moderate
Ahmedabad,2015-08-17,34.0,152.67,7.41,20.1,7.41,9.64,17.17,179.0,Moderate
Ahmedabad,2015-08-18,36.38,152.67,7.31,20.14,7.31,10.65,13.35,177.0,Moderate
Ahmedabad,2015-08-19,38.35,152.67,7.41,20.16,7.41,9.33,18.59,180.0,Moderate
Ahmedabad,2015-09-13,43.01,152.67,6.82,9.96,6.82,11.58,20.59,179.0,Moderate
Ahmedabad,2015-09-14,42.06,152.67,8.43,11.35,8.43,11.63,28.09,197.0,Moderate
Ahmedabad,2015-09-16,29.58,152.67,6.61,9.94,6.61,8.82,42.9,170.0,Moderate
Ahmedabad,2015-09-17,32.15,152.67,6.5,9.7,6.5,9.2,39.02,164.0,Moderate
Ahmedabad,2015-09-18,36.33,152.67,7.68,12.88,7.68,8.28,43.35,195.0,Moderate
Ahmedabad,2015-10-29,51.72,152.67,1.89,21.15,1.89,37.31,66.58,188.0,Moderate
Ahmedabad,2015-10-30,54.59,152.67,2.31,18.33,2.31,19.08,42.43,114.0,Moderate
Ahmedabad,2015-10-31,46.5,152.67,1.22,12.1,1.22,13.73,61.56,143.0,Moderate
Ahmedabad,2016-07-06,49.04,152.67,7.38,1.65,7.38,1.44,15.33,169.0,Moderate
Ahmedabad,2016-07-17,34.19,152.67,6.02,34.38,6.02,14.17,13.925,124.0,Moderate
Ahmedabad,2016-07-18,32.92,152.67,4.92,36.8,4.92,14.66,12.52,145.0,Moderate
Ahmedabad,2016-07-21,33.48,152.67,1.94,30.88,1.94,14.26,11.115,114.0,Moderate
Ahmedabad,2016-07-22,30.8,152.67,2.57,25.15,2.57,17.02,9.71,148.0,Moderate
Ahmedabad,2016-07-24,34.64,152.67,6.67,39.23,6.67,15.07,8.305,117.0,Moderate
Ahmedabad,2016-07-26,46.52,152.67,3.87,33.24,3.87,15.0,6.9,183.0,Moderate
Ahmedabad,2016-08-19,32.78,152.67,6.08,12.1,6.08,12.29,13.13,174.0,Moderate
Ahmedabad,2016-08-23,40.43,152.67,7.42,10.29,7.42,12.24,5.0,189.0,Moderate
Ahmedabad,2016-09-12,27.9,152.67,9.52,9.55,9.52,14.48,21.74,190.0,Moderate
Ahmedabad,2016-09-18,50.474999999999994,152.67,8.28,8.96,8.28,27.240000000000002,31.155,135.0,Moderate
Ahmedabad,2016-10-24,73.05,152.67,7.04,8.37,7.04,40.0,40.57,192.0,Moderate
Ahmedabad,2017-10-11,61.72,152.67,6.545,14.147499999999999,6.545,61.230000000000004,9.73,105.0,Moderate
Ahmedabad,2017-10-22,59.26,152.67,6.05,19.924999999999997,6.05,82.46000000000001,26.22,146.0,Moderate
Ahmedabad,2017-10-24,67.4,152.67,5.555,25.7025,5.555,103.69,19.89,102.0,Moderate
Ahmedabad,2017-11-16,85.32,152.67,5.06,31.48,5.06,124.92,28.71,195.0,Moderate
Ahmedabad,2017-12-04,68.53,152.67,5.78,61.38,5.78,85.69,88.35,164.0,Moderate
Ahmedabad,2017-12-05,81.38,152.67,5.9,55.07,5.9,58.91,39.29,187.0,Moderate
Ahmedabad,2017-12-06,56.54,152.67,5.46,32.13,5.46,31.81,66.39,149.0,Moderate
Ahmedabad,2017-12-09,86.09,152.67,5.9,72.14,5.9,114.3,59.39,167.0,Moderate
Ahmedabad,2017-12-17,65.93,152.67,5.7,45.55,5.7,99.74,105.69,174.0,Moderate
Ahmedabad,2017-12-18,66.58,152.67,7.16,62.16,7.16,98.89,66.87,198.0,Moderate
Ahmedabad,2018-02-14,65.35,152.67,6.17,104.31,6.17,59.29,64.67,172.0,Moderate
Ahmedabad,2018-03-02,53.5,152.67,4.52,105.31,4.52,171.32,67.31,132.0,Moderate
Ahmedabad,2018-10-27,72.93,152.67,90.96,78.54,90.96,39.24,69.95,161.0,Moderate
Ahmedabad,2018-12-15,59.4,152.67,7.23,47.87,7.23,21.53,71.46,191.0,Moderate
Ahmedabad,2018-12-16,54.75,152.67,6.99,43.7,6.99,19.99,76.37,172.0,Moderate
Ahmedabad,2018-12-17,62.18,152.67,7.67,55.29,7.67,29.22,73.67,198.0,Moderate
Ahmedabad,2019-01-15,66.97,152.67,6.96,37.35,6.96,28.48,89.73,172.0,Moderate
Ahmedabad,2019-01-16,161.09,152.67,101.89,116.48,101.89,64.92,84.85,116.0,Moderate
Ahmedabad,2019-06-22,63.09,152.67,12.65,163.54,12.65,26.31,113.94,184.0,Moderate
Ahmedabad,2019-10-27,57.54,81.3,7.32,72.14,7.32,120.11,103.24,199.0,Moderate
Ahmedabad,2019-10-29,37.74,93.24,7.42,62.2,7.42,110.11,51.34,200.0,Moderate
Ahmedabad,2019-11-30,46.95,86.39,8.07,86.67,8.07,147.78,41.06,199.0,Moderate
Ahmedabad,2019-12-02,46.74,76.39,4.02,60.49,4.02,112.45,48.16,192.0,Moderate
Ahmedabad,2019-12-03,41.61,83.5,3.87,54.14,3.87,123.27,57.81,134.0,Moderate
Ahmedabad,2019-12-04,77.66,99.48,4.32,62.09,4.32,93.11,51.79,140.0,Moderate
Ahmedabad,2019-12-05,65.48,121.86,7.8,82.62,7.8,66.09,42.3,197.0,Moderate
Ahmedabad,2019-12-14,63.33,99.3,4.66,14.79,4.66,29.4,24.07,157.0,Moderate
Ahmedabad,2019-12-15,48.58,93.92,2.56,12.0,2.56,20.56,27.73,177.0,Moderate
Ahmedabad,2019-12-16,45.47,89.73,5.2,20.62,5.2,18.8,30.45,145.0,Moderate
Ahmedabad,2019-12-22,60.17,104.08,3.75,18.36,3.75,39.26,8.94,170.0,Moderate
Ahmedabad,2019-12-23,57.99,97.02,2.2,17.47,2.2,52.32,6.35,113.0,Moderate
Ahmedabad,2019-12-24,49.63,95.51,1.89,19.99,1.89,79.47,4.87,113.0,Moderate
Ahmedabad,2019-12-25,53.0,98.1,4.07,20.11,4.07,69.13,5.4,166.0,Moderate
Ahmedabad,2020-01-02,72.59,128.86,3.63,14.38,3.63,23.96,23.67,162.0,Moderate
Ahmedabad,2020-01-06,46.96,109.44,7.17,16.88,7.17,38.11,23.64,175.0,Moderate
Ahmedabad,2020-01-08,61.4,118.44,2.38,16.33,2.38,30.54,23.59,157.0,Moderate
Ahmedabad,2020-01-09,38.89,93.4,2.41,14.14,2.41,46.78,23.64,129.0,Moderate
Ahmedabad,2020-01-10,56.14,108.83,2.5,11.65,2.5,26.75,23.58,129.0,Moderate
Ahmedabad,2020-01-11,59.96,109.98,2.38,14.37,2.38,45.44,23.58,114.0,Moderate
Ahmedabad,2020-01-14,39.83,44.53,3.26,16.42,3.26,25.78,23.62,189.0,Moderate
Ahmedabad,2020-01-15,53.27,90.4,3.59,16.01,3.59,19.5,23.66,142.0,Moderate
Ahmedabad,2020-01-16,40.07,79.32,3.75,13.41,3.75,10.67,23.6,152.0,Moderate
Ahmedabad,2020-02-22,36.35,97.03,4.78,52.87,4.78,42.9,52.15,168.0,Moderate
Ahmedabad,2020-03-09,37.02,90.26,5.55,32.91,5.55,42.98,67.75,170.0,Moderate
Ahmedabad,2020-03-10,37.67,94.36,2.28,17.52,2.28,26.68,16.92,116.0,Moderate
Ahmedabad,2020-03-11,31.12,80.79,3.56,21.51,3.56,19.43,16.68,152.0,Moderate
Ahmedabad,2020-03-14,39.57,111.46,4.0,35.3,4.0,49.34,39.51,170.0,Moderate
Ahmedabad,2020-03-22,48.16,122.17,5.47,18.27,5.47,52.62,33.69,180.0,Moderate
Ahmedabad,2020-03-24,31.89,98.52,2.96,25.2,2.96,44.87,47.99,135.0,Moderate
Ahmedabad,2020-03-25,33.25,91.38,4.28,33.45,4.28,61.4,38.86,195.0,Moderate
Ahmedabad,2020-03-27,22.93,37.12,5.23,18.52,5.23,16.19,34.41,193.0,Moderate
Ahmedabad,2020-03-28,37.73,72.43,4.67,35.52,4.67,16.06,34.72,160.0,Moderate
Ahmedabad,2020-03-29,20.67,75.48,3.08,26.98,3.08,22.76,40.17,125.0,Moderate
Ahmedabad,2020-03-30,28.55,89.1,4.11,38.65,4.11,19.14,31.5,140.0,Moderate
Ahmedabad,2020-03-31,29.97,98.96,3.85,22.08,3.85,32.01,36.86,145.0,Moderate
Ahmedabad,2020-04-01,24.79,86.06,4.5,21.29,4.5,22.16,36.76,153.0,Moderate
Ahmedabad,2020-04-02,25.52,88.12,4.46,24.24,4.46,18.54,38.17,164.0,Moderate
Ahmedabad,2020-04-03,33.48,87.96,4.51,41.44,4.51,23.84,46.53,173.0,Moderate
Ahmedabad,2020-04-04,39.44,84.83,3.82,39.88,3.82,27.53,58.08,182.0,Moderate
Ahmedabad,2020-04-05,43.77,87.96,3.35,40.99,3.35,31.4,53.61,152.0,Moderate
Ahmedabad,2020-04-06,46.64,95.3,3.75,29.6,3.75,22.2,49.67,145.0,Moderate
Ahmedabad,2020-04-07,45.8,104.5,3.87,16.8,3.87,31.04,48.2,159.0,Moderate
Ahmedabad,2020-04-08,36.3,90.07,5.19,15.65,5.19,30.8,49.83,183.0,Moderate
Ahmedabad,2020-04-09,32.12,89.74,5.07,21.61,5.07,20.75,62.53,168.0,Moderate
Ahmedabad,2020-04-10,30.73,78.56,4.36,28.65,0.59,32.01,42.61,113.0,Moderate
Ahmedabad,2020-04-12,26.7,72.83,2.72,27.0,0.36,21.57,42.16,101.0,Moderate
Ahmedabad,2020-04-22,32.11,94.34,3.68,17.95,0.45,15.83,42.22,101.0,Moderate
Ahmedabad,2020-04-23,31.67,81.09,3.93,16.17,0.35,32.39,43.6,106.0,Moderate
Ahmedabad,2020-04-24,27.19,82.36,3.52,16.13,0.28,20.59,51.81,110.0,Moderate
Ahmedabad,2020-04-26,25.91,73.35,4.78,13.82,0.4,10.58,44.44,101.0,Moderate
Ahmedabad,2020-04-27,31.76,81.16,3.99,19.95,0.46,29.73,52.46,117.0,Moderate
Ahmedabad,2020-04-28,32.55,87.41,3.53,23.58,0.46,42.86,50.2,130.0,Moderate
Ahmedabad,2020-04-29,27.15,76.73,3.18,24.82,0.67,32.97,54.81,122.0,Moderate
Ahmedabad,2020-04-30,26.93,74.38,2.76,17.05,0.46,37.7,56.97,128.0,Moderate
Ahmedabad,2020-05-01,28.71,89.91,2.83,13.32,0.54,26.36,49.97,128.0,Moderate
Ahmedabad,2020-05-02,22.56,63.23,3.68,15.16,0.56,25.87,55.72,131.0,Moderate
Ahmedabad,2020-05-03,23.82,62.1,4.69,16.38,0.64,22.71,54.35,121.0,Moderate
Ahmedabad,2020-05-04,23.73,69.88,4.85,15.87,0.73,20.04,58.72,130.0,Moderate
Ahmedabad,2020-05-05,33.47,134.83,3.6,29.05,0.54,2.42,54.8,143.0,Moderate
Ahmedabad,2020-05-06,26.52,79.38,4.06,18.06,0.67,3.0507142857142853,59.96,146.0,Moderate
Ahmedabad,2020-05-07,30.45,75.08,3.74,21.48,0.4,3.681428571428571,58.31,135.0,Moderate
Ahmedabad,2020-05-08,26.79,66.34,3.71,14.99,0.51,4.312142857142857,57.81,127.0,Moderate
Ahmedabad,2020-05-09,23.79,74.56,5.61,16.64,0.55,4.942857142857142,52.49,122.0,Moderate
Ahmedabad,2020-05-10,26.17,62.14,1.93,14.73,0.77,5.5735714285714275,56.28,125.0,Moderate
Ahmedabad,2020-05-11,21.31,66.1,1.85,15.01,0.54,6.204285714285714,57.55,125.0,Moderate
Ahmedabad,2020-05-12,21.94,69.06,2.95,16.95,0.58,6.834999999999999,57.89,135.0,Moderate
Ahmedabad,2020-05-13,23.19,67.28,4.12,17.46,0.48,7.465714285714284,52.31,117.0,Moderate
Ahmedabad,2020-05-14,21.9,64.39,2.98,18.73,0.49,8.09642857142857,51.86,127.0,Moderate
Ahmedabad,2020-05-15,19.15,78.8,3.93,19.59,0.51,8.727142857142855,61.79,125.0,Moderate
Ahmedabad,2020-05-16,35.75,107.68,2.54,18.72,0.39,9.357857142857142,54.31,136.0,Moderate
Ahmedabad,2020-05-17,27.28,63.5,2.5,18.56,0.68,9.988571428571426,55.52,137.0,Moderate
Ahmedabad,2020-05-18,20.85,61.13,2.6,21.35,0.62,10.619285714285713,54.41,133.0,Moderate
Ahmedabad,2020-05-19,23.98,56.9,4.15,26.56,0.61,11.249999999999998,59.05,133.0,Moderate
Ahmedabad,2020-05-20,25.6,82.26,2.86,22.47,0.69,11.880714285714284,60.12,132.0,Moderate
Ahmedabad,2020-05-21,33.35,84.99,2.64,25.02,0.56,12.511428571428569,62.4,130.0,Moderate
Ahmedabad,2020-05-22,31.38,90.28,4.54,35.67,0.65,13.142142857142854,62.39,142.0,Moderate
Ahmedabad,2020-05-23,29.26,82.26,2.58,22.23,0.67,13.77285714285714,55.64,135.0,Moderate
Ahmedabad,2020-05-24,25.47,67.79,2.73,17.85,0.81,14.403571428571425,57.16,140.0,Moderate
Ahmedabad,2020-05-25,24.84,70.95,3.98,16.03,0.57,15.03428571428571,57.53,126.0,Moderate
Ahmedabad,2020-05-26,29.78,99.14,2.88,19.35,0.59,15.664999999999997,50.52,126.0,Moderate
Ahmedabad,2020-05-27,31.25,89.65,3.65,21.42,0.83,16.295714285714283,54.58,123.0,Moderate
Ahmedabad,2020-05-28,30.7,86.02,3.56,18.84,0.56,16.926428571428566,55.49,117.0,Moderate
Ahmedabad,2020-05-29,23.91,81.0,3.29,18.6,0.57,17.557142857142853,44.9,126.0,Moderate
Ahmedabad,2020-05-30,25.71,66.36,3.4,16.46,0.41,18.18785714285714,47.74,112.0,Moderate
Ahmedabad,2020-05-31,22.83,67.92,3.82,15.35,0.4,18.818571428571424,53.06,104.0,Moderate
Ahmedabad,2020-06-01,31.02,312.28,2.74,22.62,0.64,19.449285714285708,66.9,126.0,Moderate
Ahmedabad,2020-06-02,131.88,173.4,2.71,41.56,0.45,20.08,34.26,152.0,Moderate
Ahmedabad,2020-06-04,26.08,84.25,4.99,37.3,0.79,21.29,56.78,101.0,Moderate
Ahmedabad,2020-06-10,23.62,94.06,5.9,20.92,0.85,16.22,44.32,101.0,Moderate
Ahmedabad,2020-06-12,21.4,93.89,5.28,22.4,0.85,16.27,45.05,105.0,Moderate
Ahmedabad,2020-06-19,17.65,135.16,19.86,33.84,0.71,9.9,40.03,108.0,Moderate
Ahmedabad,2020-06-20,22.9,120.7,11.79,15.81,0.5,10.1,46.04,124.0,Moderate
Ahmedabad,2020-06-21,24.28,138.12,3.45,12.44,0.7,11.45,57.31,106.0,Moderate
Ahmedabad,2020-07-01,37.63,138.12,4.42,35.04,0.28,14.4,9.69,119.0,Moderate
Ahmedabad,2015-01-29,83.13,122.41,6.93,28.71,6.93,49.52,59.76,209.0,Poor
Ahmedabad,2015-02-04,80.65,122.41,2.37,22.83,2.37,25.73,47.3,294.0,Poor
Ahmedabad,2015-02-07,88.7,122.41,7.29,31.32,7.29,80.09,44.76,247.0,Poor
Ahmedabad,2015-02-10,105.39,122.41,1.41,18.21,1.41,35.91,56.15,256.0,Poor
Ahmedabad,2015-02-12,65.04,122.41,14.19,30.1,14.19,65.91,31.88,288.0,Poor
Ahmedabad,2015-02-25,52.99,122.41,2.23,10.45,2.23,32.76,67.25,292.0,Poor
Ahmedabad,2015-03-09,119.8,122.41,4.13,24.07,4.13,50.35,50.49,233.0,Poor
Ahmedabad,2015-03-10,106.71,122.41,5.39,25.59,5.39,38.85,60.17,297.0,Poor
Ahmedabad,2015-03-12,106.01,122.41,4.28,27.31,4.28,70.29,40.91,252.0,Poor
Ahmedabad,2015-03-13,97.34,122.41,3.67,21.58,3.67,64.39,45.69,244.0,Poor
Ahmedabad,2015-03-14,83.92,122.41,6.42,25.03,6.42,67.53,34.94,234.0,Poor
Ahmedabad,2015-03-15,49.51,122.41,3.1,14.16,3.1,48.33,37.95,219.0,Poor
Ahmedabad,2015-03-17,50.29,122.41,5.34,29.84,5.34,59.23,45.44,231.0,Poor
Ahmedabad,2015-03-18,57.69,122.41,25.36,29.48,25.36,58.33,52.87,286.0,Poor
Ahmedabad,2015-04-02,77.69,122.41,5.24,18.87,5.24,100.48,27.14,222.0,Poor
Ahmedabad,2015-04-04,63.11,122.41,5.63,15.5,5.63,38.21,4.72,220.0,Poor
Ahmedabad,2015-04-13,111.86,122.41,3.89,22.51,3.89,15.84,31.23,226.0,Poor
Ahmedabad,2015-04-14,58.37,122.41,5.74,21.71,5.74,25.9,43.92,244.0,Poor
Ahmedabad,2015-04-18,109.48,122.41,4.3,20.27,4.3,46.6,31.34,285.0,Poor
Ahmedabad,2015-04-24,80.9,122.41,5.7,18.62,5.7,65.44,22.8,214.0,Poor
Ahmedabad,2015-04-25,103.29,122.41,4.55,19.82,4.55,85.42,22.18,253.0,Poor
Ahmedabad,2015-04-26,107.5,122.41,5.29,15.56,5.29,74.37,10.12,239.0,Poor
Ahmedabad,2015-04-29,138.42,122.41,5.05,16.7,5.05,77.74,27.18,300.0,Poor
Ahmedabad,2015-05-01,96.65,122.41,4.67,15.9,4.67,39.41,11.83,240.0,Poor
Ahmedabad,2015-05-05,83.99,122.41,2.73,0.08,2.73,34.06,69.57,227.0,Poor
Ahmedabad,2015-05-09,61.12,122.41,9.94,17.82,9.94,39.69,25.9,201.0,Poor
Ahmedabad,2015-05-10,58.44,122.41,10.68,17.24,10.68,54.69,18.89,211.0,Poor
Ahmedabad,2015-05-11,61.49,122.41,11.44,16.69,11.44,42.66,18.2,221.0,Poor
Ahmedabad,2015-05-12,65.39,122.41,12.3,16.08,12.3,27.96,22.35,233.0,Poor
Ahmedabad,2015-05-18,130.34,122.41,7.14,17.43,7.14,52.07,29.05,212.0,Poor
Ahmedabad,2015-05-19,53.24,122.41,8.05,15.86,8.05,36.23,21.58,280.0,Poor
Ahmedabad,2015-05-29,51.93,122.41,13.71,17.87,13.71,15.33,12.88,231.0,Poor
Ahmedabad,2015-06-03,103.78,122.41,6.36,13.9,6.36,7.76,15.27,211.0,Poor
Ahmedabad,2015-06-06,89.6,122.41,6.59,19.84,6.59,48.05,44.78,223.0,Poor
Ahmedabad,2015-06-10,45.5,122.41,8.56,15.59,8.56,0.76,3.82,220.0,Poor
Ahmedabad,2015-06-11,36.98,122.41,8.21,11.52,8.21,0.52,5.17,215.0,Poor
Ahmedabad,2015-06-12,43.58,122.41,8.26,13.33,8.26,1.02,7.56,226.0,Poor
Ahmedabad,2015-06-13,45.49,122.41,9.63,14.91,9.63,0.81,2.94,251.0,Poor
Ahmedabad,2015-06-14,38.06,122.41,8.67,18.57,8.67,1.05,4.63,216.0,Poor
Ahmedabad,2015-06-15,45.41,122.41,9.35,20.55,9.35,0.74,4.5,237.0,Poor
Ahmedabad,2015-06-26,66.39,122.41,8.58,12.79,8.58,11.09,4.96,201.0,Poor
Ahmedabad,2015-06-27,62.61,122.41,9.15,9.83,9.15,12.31,6.44,231.0,Poor
Ahmedabad,2015-06-29,111.8,122.41,9.23,11.51,9.23,5.27,5.99,220.0,Poor
Ahmedabad,2015-06-30,30.0,122.41,8.87,13.59,8.87,8.09,6.31,244.0,Poor
Ahmedabad,2015-07-01,4.66,122.41,9.01,10.9,9.01,7.31,6.38,223.0,Poor
Ahmedabad,2015-07-02,48.72,122.41,9.56,11.94,9.56,5.72,6.61,230.0,Poor
Ahmedabad,2015-07-03,49.7,122.41,9.43,9.81,9.43,6.78,6.42,243.0,Poor
Ahmedabad,2015-07-04,48.1,122.41,8.03,9.53,8.03,9.33,7.6,215.0,Poor
Ahmedabad,2015-07-07,42.68,122.41,9.74,11.08,9.74,10.87,4.44,226.0,Poor
Ahmedabad,2015-07-08,38.45,122.41,10.55,7.8,10.55,10.28,3.24,241.0,Poor
Ahmedabad,2015-07-09,46.69,122.41,11.48,0.17,11.48,10.25,5.76,222.0,Poor
Ahmedabad,2015-07-10,55.27,122.41,11.55,0.12,11.55,12.7,6.55,223.0,Poor
Ahmedabad,2015-07-11,149.03,122.41,11.49,0.16,11.49,10.07,7.27,248.0,Poor
